Date,Inbox,Tag,Num
2021-06-28,234,Sent by Watchdog,184
2021-06-28,234,Boarding,57
2021-06-28,234,Package,49
2021-06-28,234,Pick-up/drop-off,15
2021-06-28,234,Temp test,14
2021-06-28,234,Hows it going responses,6
2021-06-28,234,Registration,4
2021-06-28,234,Exceptional situation,4
2021-06-28,234,Dog health,2
2021-06-28,234,Interested but not registered,2
2021-06-28,234,Previously PA,2
2021-06-28,234,Auto replied,1
2021-06-28,234,Member handbook confirmation,1
2021-06-28,234,Peer approved,1
2021-06-28,234,What went wrong,0
2021-06-28,403,Sent by Watchdog,105
2021-06-28,403,Package,35
2021-06-28,403,Boarding,20
2021-06-28,403,Temp test,15
2021-06-28,403,Hows it going responses,6
2021-06-28,403,Pick-up/drop-off,4
2021-06-28,403,Registration,2
2021-06-28,403,Exceptional situation,2
2021-06-28,403,Auto replied,1
2021-06-28,403,Additional questions,1
2021-06-28,403,Quick question asked,1
2021-06-28,403,Dog health,1
2021-06-28,403,What went wrong,1
2021-06-28,403,Member handbook confirmation,1
2021-06-28,504,Sent by Watchdog,28
2021-06-28,504,Package,8
2021-06-28,504,Boarding,4
2021-06-28,504,Temp test,3
2021-06-28,504,Registration,3
2021-06-28,504,Pick-up/drop-off,2
2021-06-28,504,Peer approved,1
2021-06-28,504,What went wrong,0
2021-06-28,504,Exceptional situation,0
2021-06-28,208,Sent by Watchdog,55
2021-06-28,208,Package,17
2021-06-28,208,Temp test,6
2021-06-28,208,Boarding,4
2021-06-28,208,Pick-up/drop-off,3
2021-06-28,208,Peer review requested,2
2021-06-28,208,Peer approved,1
2021-06-28,208,Previously PA,1
2021-06-28,208,Exceptional situation,1
2021-06-28,208,Registration,1
2021-06-28,208,Dog health,1
2021-07-05,234,Sent by Watchdog,124
2021-07-05,234,Boarding,59
2021-07-05,234,Pick-up/drop-off,45
2021-07-05,234,Package,18
2021-07-05,234,Peer approved,6
2021-07-05,234,Dog health,2
2021-07-05,234,Hows it going responses,2
2021-07-05,234,Exceptional situation,2
2021-07-05,234,Previously PA,1
2021-07-05,234,Temp test,1
2021-07-05,234,Registration,1
2021-07-05,234,Peer review requested,1
2021-07-05,403,Sent by Watchdog,100
2021-07-05,403,Boarding,42
2021-07-05,403,Pick-up/drop-off,34
2021-07-05,403,Package,18
2021-07-05,403,Peer approved,5
2021-07-05,403,Temp test,5
2021-07-05,403,Previously PA,3
2021-07-05,403,Exceptional situation,3
2021-07-05,403,Dog health,2
2021-07-05,403,Registration,1
2021-07-05,403,Auto replied,1
2021-07-05,403,Member handbook confirmation,1
2021-07-05,504,Sent by Watchdog,41
2021-07-05,504,Pick-up/drop-off,7
2021-07-05,504,Package,4
2021-07-05,504,Boarding,2
2021-07-05,504,Temp test,1
2021-07-05,208,Sent by Watchdog,29
2021-07-05,208,Package,8
2021-07-05,208,Pick-up/drop-off,7
2021-07-05,208,Boarding,3
2021-07-05,208,Previously PA,3
2021-07-05,208,Peer approved,2
2021-07-05,208,Dog health,1
2021-07-05,208,Temp test,1
2021-07-12,234,Sent by Watchdog,181
2021-07-12,234,Boarding,54
2021-07-12,234,Package,47
2021-07-12,234,Pick-up/drop-off,13
2021-07-12,234,Temp test,5
2021-07-12,234,Hows it going responses,4
2021-07-12,234,Exceptional situation,4
2021-07-12,234,Dog health,3
2021-07-12,234,Registration,3
2021-07-12,234,Previously PA,1
2021-07-12,403,Sent by Watchdog,109
2021-07-12,403,Package,35
2021-07-12,403,Boarding,22
2021-07-12,403,Temp test,18
2021-07-12,403,Pick-up/drop-off,9
2021-07-12,403,Registration,4
2021-07-12,403,Dog health,3
2021-07-12,403,Hows it going responses,1
2021-07-12,403,Quick question asked,1
2021-07-12,403,Auto replied,1
2021-07-12,403,Additional questions,1
2021-07-12,403,Member handbook confirmation,1
2021-07-12,403,Exceptional situation,0
2021-07-12,504,Sent by Watchdog,35
2021-07-12,504,Package,13
2021-07-12,504,Boarding,5
2021-07-12,504,Temp test,4
2021-07-12,504,Registration,2
2021-07-12,504,Pick-up/drop-off,2
2021-07-12,504,Exceptional situation,1
2021-07-12,208,Sent by Watchdog,55
2021-07-12,208,Package,19
2021-07-12,208,Temp test,4
2021-07-12,208,Boarding,2
2021-07-12,208,Pick-up/drop-off,3
2021-07-12,208,Dog health,1
2021-07-19,234,Sent by Watchdog,218
2021-07-19,234,Boarding,58
2021-07-19,234,Package,57
2021-07-19,234,Pick-up/drop-off,17
2021-07-19,234,Temp test,13
2021-07-19,234,Registration,4
2021-07-19,234,Hows it going responses,1
2021-07-19,234,Interested but not registered,1
2021-07-19,234,Dog health,1
2021-07-19,234,Exceptional situation,1
2021-07-19,234,Member handbook confirmation,1
2021-07-19,403,Sent by Watchdog,120
2021-07-19,403,Package,34
2021-07-19,403,Boarding,27
2021-07-19,403,Temp test,11
2021-07-19,403,Pick-up/drop-off,10
2021-07-19,403,Hows it going responses,4
2021-07-19,403,Registration,1
2021-07-19,403,Dog health,1
2021-07-19,403,What went wrong,1
2021-07-19,504,Sent by Watchdog,41
2021-07-19,504,Package,11
2021-07-19,504,Boarding,3
2021-07-19,504,Pick-up/drop-off,2
2021-07-19,504,Registration,2
2021-07-19,504,Temp test,1
2021-07-19,504,Dog health,1
2021-07-19,504,Auto replied,0
2021-07-19,504,Member handbook confirmation,0
2021-07-19,208,Sent by Watchdog,49
2021-07-19,208,Package,10
2021-07-19,208,Temp test,3
2021-07-19,208,Boarding,3
2021-07-19,208,Pick-up/drop-off,2
2021-07-19,208,Registration,1
2021-07-19,208,Dog health,1
